nome,endereco,lat,lon,imagem,detalhes_url,mapa_url
Pé de Goiaba,"Avenida Amazonas, 4676 | Nova Suíssa, Belo Horizonte - MG",-19.9292502,-43.9757285,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044957/pedegoiaba_bodasdeprata_bh_2025_isaquerodrigues_unibh-8633-scaled.jpg,https://comidadibuteco.com.br/buteco/3179-revision-v1/,"https://www.google.com/maps/search/?api=1&query=Avenida Amazonas, 4676 | Nova Suíssa, Belo Horizonte - MG"
Planeta Lúpulo,"Avenida Guarapari, 108 | Santa Amélia, Belo Horizonte - MG",-19.8445991,-43.9770988,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19160104/planetalupulo_cestinhadasgerais_bh_2025_isaquerodrigues_unibh-8557-scaled.jpg,https://comidadibuteco.com.br/buteco/planeta-lupulo/,"https://www.google.com/maps/search/?api=1&query=Avenida Guarapari, 108 | Santa Amélia, Belo Horizonte - MG"
PoiZé Bar e Petisqueira,"Rua Pium-I, 686 | Cruzeiro, Belo Horizonte - MG",-19.945659,-43.9309165,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045021/poize_aparecidinhodoze_bh_2025_rodneycosta_unibh-7767-scaled.jpg,https://comidadibuteco.com.br/buteco/poize-bar-e-petisqueira/,"https://www.google.com/maps/search/?api=1&query=Rua Pium-I, 686 | Cruzeiro, Belo Horizonte - MG"
Prado Beer,"Avenida Francisco Sá, 590 | Prado, Belo Horizonte - MG",-19.9270434,-43.9597485,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19160250/pradobeer_amontadinho_bh_2025_isaquerodrigues_unibh-8981-scaled.jpg,https://comidadibuteco.com.br/buteco/prado-beer/,"https://www.google.com/maps/search/?api=1&query=Avenida Francisco Sá, 590 | Prado, Belo Horizonte - MG"
Prosa Boa,"Avenida Doutor Cristiano Guimarães, 1480 | Planalto, Belo Horizonte - MG",-19.8333481,-43.95591049999999,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19160333/prosaboa_roendoateoosso_bh_2025_rodneycosta_unibh-7476-scaled.jpg,https://comidadibuteco.com.br/buteco/prosa-boa/,"https://www.google.com/maps/search/?api=1&query=Avenida Doutor Cristiano Guimarães, 1480 | Planalto, Belo Horizonte - MG"
Quinteiro Bar e Restaurante,"Rua Salinas, 1008 | Floresta, Belo Horizonte - MG",-19.9145485,-43.9257172,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19170230/quinteirobar_voucomermeubolo_bh_2025_isaquerodrigues_unibh-8588-scaled.jpg,https://comidadibuteco.com.br/buteco/quinteiro-bar-e-restaurante/,"https://www.google.com/maps/search/?api=1&query=Rua Salinas, 1008 | Floresta, Belo Horizonte - MG"
Quioxque Botequim Carioca,"Rua Henrique Badaró Portugal, 157 | Buritis, Belo Horizonte - MG",-19.975114,-43.9765634,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19170333/quioxque_estamosdeparabens_bh_2025_isaquerodrigues_unibh-7820-scaled.jpg,https://comidadibuteco.com.br/buteco/quioxque-butiquim-carioca/,"https://www.google.com/maps/search/?api=1&query=Rua Henrique Badaró Portugal, 157 | Buritis, Belo Horizonte - MG"
Quitandas da Tia Nice Bar,"Rua Alabastro, 146 | Sagrada Família, Belo Horizonte – MG",-19.911229,-43.9207988,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044911/quitandatianice_queceque_bh_2025_rodneycosta_unibh-7389-scaled.jpg,https://comidadibuteco.com.br/buteco/quitandas-da-tia-nice-bar/,"https://www.google.com/maps/search/?api=1&query=Rua Alabastro, 146 | Sagrada Família, Belo Horizonte – MG"
Rancho do Manoel,"Rua Isabel Bueno, 1100 | Belo Horizonte - MG",-19.8599846,-43.9500839,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19171029/ranchodomanoel_trembaoso_bh_2025_rodneycosta_unibh-7453-scaled.jpg,https://comidadibuteco.com.br/buteco/rancho-do-manoel/,"https://www.google.com/maps/search/?api=1&query=Rua Isabel Bueno, 1100 | Belo Horizonte - MG"
Recanto Vovó Tela,"Rua Tenente Marino Freire, 270 | Maria Helena, Belo Horizonte - MG",-19.8018009,-43.9935688,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044845/recantovovotela_de2510tmj_bh_2025_rodneycosta_unibh-9209-scaled.jpg,https://comidadibuteco.com.br/buteco/5701-revision-v1/,"https://www.google.com/maps/search/?api=1&query=Rua Tenente Marino Freire, 270 | Maria Helena, Belo Horizonte - MG"
